2014-01-01, 0
2014-01-02, 0
2014-01-03, 0
2014-01-04, 0
2014-01-05, 0
2014-01-06, 0
2014-01-07, 0
2014-01-08, 0
2014-01-09, 0
2014-01-10, 0
2014-01-11, 0
2014-01-12, 0
2014-01-13, 0
2014-01-14, 4
2014-01-15, 0
2014-01-16, 0
2014-01-17, 0
2014-01-18, 0
2014-01-19, 0
2014-01-20, 0
2014-01-21, 0
2014-01-22, 0
2014-01-23, 0
2014-01-24, 0
2014-01-25, 0
2014-01-26, 0
2014-01-27, 0
2014-01-28, 0
2014-01-29, 0
2014-01-30, 0
2014-01-31, 0
2014-02-01, 0
2014-02-02, 0
2014-02-03, 0
2014-02-04, 0
2014-02-05, 0
2014-02-06, 0
2014-02-07, 0
2014-02-08, 0
2014-02-09, 0
2014-02-10, 0
2014-02-11, 0
2014-02-12, 0
2014-02-13, 0
2014-02-14, 0
2014-02-15, 0
2014-02-16, 0
2014-02-17, 0
2014-02-18, 30
2014-02-19, 84
2014-02-20, 71
2014-02-21, 93
2014-02-22, 35
2014-02-23, 76
2014-02-24, 111
2014-02-25, 24
2014-02-26, 64
2014-02-27, 40
2014-02-28, 41
2014-03-01, 7
2014-03-02, 29
2014-03-03, 61
2014-03-04, 21
2014-03-05, 9
2014-03-06, 48
2014-03-07, 66
2014-03-08, 89
2014-03-09, 36
2014-03-10, 27
2014-03-11, 21
2014-03-12, 47
2014-03-13, 2
2014-03-14, 0
2014-03-15, 18
2014-03-16, 23
2014-03-17, 96
2014-03-18, 61
2014-03-19, 175
2014-03-20, 51
2014-03-21, 90
2014-03-22, 34
2014-03-23, 60
2014-03-24, 54
2014-03-25, 10
2014-03-26, 47
2014-03-27, 236
2014-03-28, 9
2014-03-29, 43
2014-03-30, 73
2014-03-31, 30
2014-04-01, 45
2014-04-02, 0
2014-04-03, 0
2014-04-04, 0
2014-04-05, 0
2014-04-06, 0
2014-04-07, 0
2014-04-08, 0
2014-04-09, 0
2014-04-10, 0
2014-04-11, 0
2014-04-12, 0
2014-04-13, 0
2014-04-14, 124
2014-04-15, 34
2014-04-16, 50
2014-04-17, 27
2014-04-18, 52
2014-04-19, 64
2014-04-20, 175
2014-04-21, 104
2014-04-22, 47
2014-04-23, 50
2014-04-24, 28
2014-04-25, 20
2014-04-26, 43
2014-04-27, 28
2014-04-28, 21
2014-04-29, 0
2014-04-30, 17
2014-05-01, 28
2014-05-02, 30
2014-05-03, 168
2014-05-04, 77
2014-05-05, 53
2014-05-06, 25
2014-05-07, 47
2014-05-08, 0
2014-05-09, 12
2014-05-10, 97
2014-05-11, 4
2014-05-12, 35
2014-05-13, 40
2014-05-14, 23
2014-05-15, 96
2014-05-16, 57
2014-05-17, 8
2014-05-18, 32
2014-05-19, 51
2014-05-20, 64
2014-05-21, 0
2014-05-22, 39
2014-05-23, 46
2014-05-24, 0
2014-05-25, 38
2014-05-26, 61
2014-05-27, 12
2014-05-28, 9
2014-05-29, 0
2014-05-30, 8
2014-05-31, 42
2014-06-01, 21
2014-06-02, 17
2014-06-03, 24
2014-06-04, 0
2014-06-05, 48
2014-06-06, 35
2014-06-07, 34
2014-06-08, 0
2014-06-09, 10
2014-06-10, 21
2014-06-11, 14
2014-06-12, 6
2014-06-13, 0
2014-06-14, 0
2014-06-15, 0
2014-06-16, 14
2014-06-17, 45
2014-06-18, 1
2014-06-19, 25
2014-06-20, 58
2014-06-21, 3
2014-06-22, 0
2014-06-23, 30
2014-06-24, 49
2014-06-25, 3
2014-06-26, 0
2014-06-27, 0
2014-06-28, 23
2014-06-29, 29
2014-06-30, 22
2014-07-01, 23
2014-07-02, 4
2014-07-03, 26
2014-07-04, 22
2014-07-05, 30
2014-07-06, 34
2014-07-07, 75
2014-07-08, 0
2014-07-09, 28
2014-07-10, 0
2014-07-11, 11
2014-07-12, 0
2014-07-13, 14
2014-07-14, 46
2014-07-15, 48
2014-07-16, 0
2014-07-17, 0
2014-07-18, 0
2014-07-19, 0
2014-07-20, 0
2014-07-21, 4
2014-07-22, 30
2014-07-23, 51
2014-07-24, 44
2014-07-25, 11
2014-07-26, 63
2014-07-27, 56
2014-07-28, 93
2014-07-29, 31
2014-07-30, 14
2014-07-31, 0
2014-08-01, 17
2014-08-02, 36
2014-08-03, 0
2014-08-04, 18
2014-08-05, 292
2014-08-06, 194
2014-08-07, 22
2014-08-08, 25
2014-08-09, 45
2014-08-10, 30
2014-08-11, 86
2014-08-12, 81
2014-08-13, 75
2014-08-14, 136
2014-08-15, 115
2014-08-16, 92
2014-08-17, 24
2014-08-18, 4
2014-08-19, 233
2014-08-20, 110
2014-08-21, 176
2014-08-22, 105
2014-08-23, 18
2014-08-24, 1
2014-08-25, 58
2014-08-26, 46
2014-08-27, 29
2014-08-28, 5
2014-08-29, 54
2014-08-30, 20
2014-08-31, 1
2014-09-01, 47
2014-09-02, 46
2014-09-03, 68
2014-09-04, 233
2014-09-05, 41
2014-09-06, 0
2014-09-07, 0
2014-09-08, 34
2014-09-09, 44
2014-09-10, 54
2014-09-11, 117
2014-09-12, 83
2014-09-13, 9
2014-09-14, 18
2014-09-15, 0
2014-09-16, 64
2014-09-17, 39
