date,twitter_tweets,twitter_impressions,twitter_engagements,twitter_retweets,twitter_replies,twitter_likes,twitter_userProfileClicks,twitter_UrlClicks,twitter_detailExpands,twitter_mediaViews,twitter_mediaEngagements,lastfm_songsPlayed,github_checkins,foursquare_checkins,outside_maxTemp,outside_minTemp,outside_meanTemp,outside_totalPrecip,bchydro_netConsumption,visa,google_searches,moves_steps,netflix
2015-10-19,1,141,4,0,0,2,0,2,0,0,0,0,0,7,15.2,11.7,13.5,0.7,3.2,640.28,50,0,0
2015-10-20,1,106,6,0,0,0,0,4,2,0,0,0,1,0,15.6,10.4,13,0,3.21,8.9,41,0,2
2015-10-21,1,103,0,0,0,0,0,0,0,0,0,0,0,2,14,9.4,11.7,0,5.14,117.55,22,0,7
2015-10-22,3,382,3,0,0,0,1,0,2,0,0,14,0,1,13.1,8.3,10.7,0,5.24,20.93,21,0,1
2015-10-23,4,753,18,0,2,3,4,0,8,0,0,0,0,1,12.7,6.7,9.7,0,13.9,10.2,26,0,6
2015-10-24,0,0,0,0,0,0,0,0,0,0,0,15,0,5,12.4,6.5,9.5,0,5.65,0,57,0,0
2015-10-25,1,137,4,0,0,1,0,0,1,2,2,0,0,3,14.4,9.2,11.8,0,4.33,0,22,2176,1
2015-10-26,3,905,26,5,1,5,0,8,4,3,3,0,2,0,14.9,10.9,12.9,5.7,5.68,236.16,39,0,5
2015-10-27,2,206,3,0,1,0,0,1,1,0,0,7,1,1,14.9,9.2,12.1,0,6.73,44.14,51,0,1
2015-10-28,1,166,0,0,0,0,0,0,0,0,0,4,0,0,11.9,10.3,11.1,17.5,3.76,34.96,48,0,0
2015-10-29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14.7,10.9,12.8,6.6,8.3,115.58,36,0,0
2015-10-30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13.8,10.8,12.3,20.2,1.41,54.02,32,0,0
2015-10-31,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,10.3,12.2,24.1,4.25,0,33,0,0
2015-11-01,2,403,14,0,1,0,1,5,1,6,6,0,2,0,11.8,7.3,9.6,35.8,19.71,0,24,0,2
2015-11-02,3,705,7,1,0,2,1,0,3,0,0,4,3,1,10.9,7.3,9.1,0,15.89,239.58,31,0,0
2015-11-03,1,275,5,0,0,2,1,0,2,0,0,0,1,1,11.1,4.7,7.9,0,17,1150.35,24,0,0
2015-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.9,5.1,7,0.2,18.38,21.74,29,0,1
2015-11-05,1,277,0,0,0,0,0,0,0,0,0,19,1,0,10.5,6.7,8.6,4.1,17.09,39.93,44,0,0
2015-11-06,0,0,0,0,0,0,0,0,0,0,0,45,0,1,10.4,7.3,8.9,12.8,14.29,70.44,5,0,0
2015-11-07,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11.1,9.7,10.4,62.4,14.08,0,23,0,0
2015-11-08,8,2456,38,0,0,8,2,9,8,11,11,0,2,2,10.5,6.8,8.7,0.2,13.55,0,17,0,0
2015-11-09,0,0,0,0,0,0,0,0,0,0,0,1,4,2,11.2,4.9,8.1,0,17.31,369.82,9,0,0
2015-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4.7,6.9,3.1,19.7,273.51,5,0,0
2015-11-11,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10.8,6.5,8.7,5.4,9.05,0,5,0,0
2015-11-12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.2,6,7.1,54.5,1.4,488.07,10,0,0
2015-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.3,7.3,9.3,28,2.76,128.1,2,0,0
2015-11-14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.8,7,7.9,4.3,2.83,0,8,0,0
2015-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.3,3.4,5.9,1.4,6.17,0,17,0,0
2015-11-16,2,671,7,1,0,1,0,2,0,3,3,1,1,2,6.4,3.3,4.9,24.6,29.79,188.99,4,0,1
2015-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,5.3,9.9,12.1,11.12,55.27,4,0,0
2015-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.3,3.4,5.9,0,7.38,130.65,10,0,0
2015-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.7,1.1,4.4,0,20.28,147.89,0,0,0
2015-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0.1,4.3,0,23.77,97,2,0,0
2015-11-21,1,258,0,0,0,0,0,0,0,0,0,0,8,3,7.4,0.2,3.8,0,23.16,0,12,0,0
2015-11-22,1,261,6,0,0,0,0,2,0,4,4,33,0,7,7.6,1.5,4.6,0,21.01,0,19,0,0
2015-11-23,1,237,3,0,0,1,0,1,0,1,1,51,1,1,6.4,4,5.2,3.9,17.24,116.48,41,0,0
2015-11-24,1,289,7,1,0,0,2,0,4,0,0,0,0,0,10.8,1.1,6,1.2,17.4,8.48,2,0,0
2015-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.3,-0.2,3.6,0,31.29,12.6,9,0,0
2015-11-26,0,0,0,0,0,0,0,0,0,0,0,32,0,0,7.9,0.7,4.3,0,36.91,90.01,32,0,0
2015-11-27,1,227,2,0,0,0,0,1,0,1,1,89,0,0,7.7,0.4,4.1,0,34.27,64.34,11,0,0
2015-11-28,1,210,2,0,0,0,0,1,1,0,0,0,0,3,7.1,0,3.6,0,34.23,0,14,0,0
2015-11-29,2,506,8,0,0,2,1,2,2,1,1,0,0,0,5.5,-0.1,2.7,0,36.06,0,5,0,0
2015-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,-0.2,4,0,34.83,516.19,3,0,0
2015-12-01,1,190,6,0,0,2,0,3,0,1,1,1,0,3,10.1,6.5,8.3,12.1,25.97,64.28,3,0,0
2015-12-02,4,694,3,0,0,0,0,2,1,0,0,0,0,2,11.5,7,9.3,4.3,5.21,199.83,5,0,0
2015-12-03,1,174,1,0,0,0,0,0,0,9,1,5,0,1,15.2,8.9,12.1,18.8,3.53,9.84,9,0,5
2015-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,7.2,8.9,1.1,6.54,164.41,8,0,1
2015-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.7,7,8.4,37.2,7.93,0,5,0,3
2015-12-06,1,185,5,0,0,0,0,3,1,1,1,0,0,4,11.4,7.9,9.7,24,14.03,0,5,0,0
2015-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.8,8.8,9.8,9.4,26.26,186.61,37,0,3
2015-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.9,8.6,10.8,29,3.1,47.63,34,0,3
2015-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.7,6.8,9.8,8.7,6.38,0,19,0,0
2015-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9,7.3,9.1,9.1,10.2,6.99,27,0,0
2015-12-11,1,26,0,0,0,0,0,0,0,0,0,0,0,0,12.9,4.7,8.8,0,9.32,20.95,29,5461,0
2015-12-12,2,268,2,0,0,1,0,0,1,0,0,0,3,2,9.3,4.4,6.9,28,13.91,0,29,2533,4
2015-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,4.7,7,25,13.29,0,33,12237,0
2015-12-14,2,281,2,0,0,1,0,1,0,0,0,0,2,1,6.4,4.1,5.3,1.2,15.22,184.88,102,2468,2
2015-12-15,0,0,0,0,0,0,0,0,0,0,0,19,1,3,0,4.1,0,0,14.22,120.99,41,0,3
2015-12-16,2,308,10,0,1,0,0,2,2,5,5,0,0,6,7.7,1.8,4.8,0,18.37,231.11,12,0,5
2015-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.9,2.9,3.9,11.1,22.31,253.9,27,0,3
2015-12-18,3,557,3,1,0,0,0,0,1,1,1,33,0,0,0,3,0,0,42.29,148.84,39,0,0
2015-12-19,0,0,0,0,0,0,0,0,0,0,0,16,0,4,7.7,5.3,6.5,5.6,19.58,0,19,801,1
2015-12-20,2,1797,24,2,2,5,0,3,5,7,7,3,0,1,8.8,5.5,7.2,8.4,6.16,0,30,5264,0
2015-12-21,1,181,2,1,0,0,0,0,1,0,0,0,0,2,6.6,3.5,5.1,1.5,0.92,613.68,45,12858,0
2015-12-22,3,319,7,0,1,0,0,2,4,0,0,0,0,8,6.5,2,4.3,6.1,0.89,0,23,3734,0
2015-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,3.4,4.8,16.1,0.88,0,7,151,0
2015-12-24,2,262,2,0,0,1,0,0,0,1,1,0,0,2,4.5,3,3.8,3,0.87,0,19,0,0
2015-12-25,1,119,4,0,0,0,1,2,0,1,1,0,0,0,5.5,0.6,3.1,0,0.91,0,6,0,1
2015-12-26,1,130,19,0,0,3,2,5,4,5,5,0,0,1,4.8,2.2,3.5,0.2,0.84,0,16,0,0
2015-12-27,1,132,0,0,0,0,0,0,0,0,0,0,0,4,6.2,2.8,4.5,12.2,1.02,0,22,0,0
2015-12-28,2,155,5,0,2,1,1,0,0,0,0,2,0,1,5.8,2.9,4.4,0.2,46.72,0,13,0,0
2015-12-29,3,108,3,0,2,0,0,0,1,0,0,14,0,2,7.2,1,4.1,0,31.4,0,45,0,0
2015-12-30,3,456,15,1,2,2,1,7,1,0,0,0,1,5,4.8,-1.1,1.9,0,36.01,0,25,4391,0
2015-12-31,7,578,7,3,0,3,1,0,0,0,0,47,4,3,0,0,0,0,0,0,74,6526,0
