2016-11-07,36
2016-11-08,10
2016-11-09,0
2016-11-10,0
2016-11-11,0
2016-11-12,2
2016-11-13,1
2016-11-14,74
2016-11-15,17
2016-11-16,15
2016-11-17,0
2016-11-18,7
2016-11-19,0
2016-11-20,0
2016-11-21,17
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,0
2016-11-29,0
2016-11-30,0
2016-12-01,0
