20160101,10432,
20160102,4732,
20160103,11577,
20160104,2523,
20160105,7319,
20160106,8039,
20160107,9766,
20160108,7739,
20160109,10024,
20160110,5059,
20160111,1032,
20160112,10692,
20160113,5025,
20160114,7111,
20160115,6348,
20160116,6948,
20160117,9082,
20160118,10402,
20160119,9323,
20160120,8929,
20160121,8124,
20160122,12723,
20160123,16059,
20160124,8018,
20160125,3864,
20160126,9644,
20160127,7673,
20160128,5643,
20160129,9471,
20160201,10656,
20160202,13968,
20160203,10314,
20160204,8520,
20160205,8285,
20160206,17825,
20160207,273,
20160208,10446,
20160209,7246,
20160210,6380,
20160211,9091,
20160212,6503,
20160213,2303,
20160214,6412,
20160215,16418,
20160216,9265,
20160217,9879,
20160218,9301,
20160219,10016,
20160220,7046,
20160221,7049,
20160222,15565,
20160223,7914,
20160224,7351,
20160225,9935,
20160226,9023,
20160227,4086,
20160228,4979,
20160229,6924,
20160301,8596,
20160302,7104,
20160303,7351,
20160304,17578,
20160305,12158,
20160306,5186,
20160307,8873,
20160308,5444,
20160309,7660,
20160310,14756,
20160311,16755,
20160312,7676,
20160313,10207,
20160314,9178,
20160315,5836,
20160316,11888,
20160317,12459,
20160318,5191,
20160319,7239,
20160320,4772,
20160321,12487,
20160322,9405,
20160323,8281,
20160324,13185,
20160325,9455,
20160326,18635,
20160327,12091,
20160328,18459,
20160329,3141,
20160330,2870,
20160331,14424,
20160401,6841,
20160402,9990,
20160403,4766,
20160404,7980,
20160405,1363,
20160406,3136,
20160407,8400,
20160408,0,
20160409,0,
20160410,0,
20160411,0,
20160412,0,
20160413,0,
20160414,0,
20160415,0,
20160416,105,
20160417,5070,
20160418,11743,
20160419,2128,
20160420,15612,
20160421,2161,
20160422,4821,
20160423,13187,
20160424,6023,
20160425,16299,
20160426,3767,
20160427,3515,
20160428,2169,
20160429,5074,
20160430,15613,
20160501,16070,
20160502,6548,
20160503,4624,
20160504,10113,
20160505,6596,
20160506,3734,
20160507,3354,
20160508,12032,
20160509,9089,
20160510,5576,
20160511,5375,
20160512,10510,
20160513,9401,
20160514,15052,
20160515,2895,
20160516,5245,
20160517,2906,
20160518,15976,
20160519,31240,
20160520,17333,
20160521,20214,
20160522,10627,
20160523,2478,
20160524,1452,
20160525,4478,
20160526,5106,
20160527,4017,
20160528,3497,
20160529,8770,
20160530,1254,
20160531,13310,
20160601,5341,
20160602,4105,
20160603,4126,
20160604,8156,
20160605,7302,
20160606,9561,
20160607,5204,
20160608,6822,
20160609,3640,
20160610,7571,
20160611,7530,
20160612,6241,
20160613,14995,
20160614,3550,
20160615,3844,
20160616,11389,
20160617,5674,
20160618,2565,
20160619,11212,
20160620,10201,
20160621,4769,
20160622,6234,
20160623,2584,
20160624,5449,
20160625,13849,
20160626,9604,
20160627,10829,
20160628,7539,
20160629,7237,
20160630,4385,
20160701,2145,
20160702,8789,
20160703,10637,
20160704,1288,
20160705,1703,
20160706,10349,
20160707,5005,
20160708,2860,
20160709,8056,
20160710,0,
20160711,5147,
20160712,4208,
20160713,4802,
20160714,2857,
20160715,4921,
20160716,10300,
20160717,10220,
20160718,12654,
20160719,2141,
20160720,5390,
20160721,6272,
20160722,7420,
20160723,7345,
20160724,3197,
20160725,6713,
20160726,5641,
20160727,5265,
20160728,3141,
20160729,3833,
20160730,7398,
20160731,13651,
20160801,12306,
20160802,3719,
20160803,7319,
20160804,9569,
20160805,6572,
20160806,3888,
20160807,1390,
20160808,10348,
20160809,5229,
20160810,3868,
20160811,5708,
20160812,2531,
20160813,6047,
20160814,6457,
20160815,10769,
20160816,2253,
20160817,4084,
20160818,3872,
20160819,4054,
20160820,14078,
20160821,6157,
20160822,9079,
20160823,4004,
20160824,2594,
20160825,4236,
20160826,3176,
20160827,6680,
20160828,2602,
20160829,11713,
20160901,2829,
20160902,15127,
20160903,12370,
20160904,22976,
20160905,7616,
20160906,1610,
20160907,826,
20160908,4261,
20160909,5232,
20160910,12039,
20160911,2554,
20160912,5384,
20160913,14539,
20160914,6236,
20160915,2769,
20160916,4661,
20160917,11712,
20160918,8265,
20160919,3629,
20160920,3574,
20160921,5721,
20160922,3785,
20160923,2811,
20160924,5826,
20160925,7731,
20160926,13221,
20160927,5708,
20160928,9532,
20160929,22254,
20160930,23777,
20161001,14800,
20161002,22131,
20161003,11622,
20161004,12606,
20161005,1814,
20161006,2957,
20161007,6288,
20161008,10655,
20161009,799,
20161010,8949,
20161011,5139,
20161012,5871,
20161013,4382,
20161014,7768,
20161015,2869,
20161016,8384,
20161017,3196,
20161018,2474,
20161019,1510,
20161020,7541,
20161021,561,
20161022,9351,
20161023,9170,
20161024,1718,
20161025,2815,
20161026,2918,
20161027,6991,
20161028,8267,
20161029,14704,
20161030,10855,
20161031,2225,
20161101,1642,
20161102,1857,
20161103,4452,
20161104,462,
20161105,3803,
20161106,8558,
20161107,231,
20161108,5182,
20161109,1813,
20161110,6491,
20161111,11110,
20161112,9264,
20161113,313,
20161114,4807,
20161115,2795,
20161116,1296,
20161117,580,
20161118,11405,
20161119,8333,
20161120,10503,
20161121,19521,
20161122,1942,
20161123,2024,
20161124,3097,
20161125,1899,
20161126,3540,
20161127,8319,
20161128,2771,
20161129,3601,
20161130,7603,
20161201,4959,
